"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD test","create token","SUCCESS","2023-08-08T19:45:08.503+01:00[Europe/London]","0.0","11.6"
"CRUD test","Get All booking Id","SUCCESS","2023-08-08T19:45:20.156+01:00[Europe/London]","0.0","2.29"
"CRUD test","Create booking ","SUCCESS","2023-08-08T19:45:22.449+01:00[Europe/London]","0.0","0.81"
"CRUD test","Get user by single Id","SUCCESS","2023-08-08T19:45:23.267+01:00[Europe/London]","0.0","0.83"
"CRUD test","update booking ","SUCCESS","2023-08-08T19:45:24.118+01:00[Europe/London]","0.0","1.55"
"CRUD test","Delete booking","SUCCESS","2023-08-08T19:45:25.670+01:00[Europe/London]","0.0","1.35"
